index,source,input,answer,CHANGE_VARIABLE_IN_CONDITION,CHANGE_VARIABLE_IN_CONDITION2,CHANGE_VARIABLE_IN_LOOP,CHANGE_VARIABLE_IN_LOOP2,CHANGE_VARIABLE_IN_SIMPLE_LOOP,NEGLECT_FOR_LOOP,REGARD_AS_ARRAY,CHANGE_SIGN_OF_INEQUALITY,type
1,a1.rb,3,-3,-,-,-,-,-,-,[3],-,trace
2,a1.rb,4,4,-,-,-,-,-,-,-,-,trace
3,a2.rb,3,3,-,-,-,-,-,-,-,-,trace
4,a2.rb,4,-4,-,-,-,-,-,-,[4],-,trace
5,b3.rb,3,9,-,-,6,-,6,3,"[1, 2, 3]",-,-
6,b3.rb,4,16,-,-,10,-,10,4,"[1, 2, 3, 4]",-,-
7,b4.rb,3,6,-,-,-,9,-,-,"[1, 2, 3]",-,-
8,b4.rb,4,10,-,-,-,16,-,-,"[1, 2, 3, 4]",-,-
9,b5.rb,3,-9,-,-,-6,-,-,-3,"[-1, -2, -3]",-,-
10,b5.rb,4,16,-8,-,-2,-,-,4,"[-1, -2, -3, 4]",-16,-
11,b6.rb,3,9,-3,-,0,-,-,3,"[-1, -2, 3]",-,-
12,b6.rb,4,-16,-8,-,-4,-,-,-4,"[-1, -2, 3, -4]",-,-
13,b7.rb,3,-6,-,-,-,-9,-,-,"[-1, -2, -3]",0,-
14,b7.rb,4,-2,-,10,-,16,-,-,"[-1, -2, -3, 4]",-4,-
15,b8.rb,3,0,-,6,-,9,-,-,"[-1, -2, 3]",-,-
16,b8.rb,4,-4,-,-10,-,-16,-,-,"[-1, -2, 3, -4]",-,-
17,b9.rb,3,-3,-,-,-,-,-,-,-,-,-
18,b9.rb,4,16,-,-,10,-,10,4,"[1, 2, 3, 4]",-4,-
19,b10.rb,3,3,-,-,-,-,-,-,-,-,-
20,b10.rb,4,-16,-,-,-10,-,-10,-4,"[-1, -2, -3, -4]",-,-
